,depression_F,depression_p,gender_F,gender_p,interaction_F,interaction_p,partial_eta_sq,cohens_d,ci_lower,ci_upper
f0_mean_hz,0.3176425483921547,0.5745117446800121,115.57948800465743,1.6039283773505313e-17,0.5449788749805166,0.46240998878890094,0.003723058196456705,0.5852311848645754,0.1775068241958237,1.1166401680776552
f0_std_hz,0.02299563104180927,0.8798277742295071,2.70349241745522,0.10382248170734162,0.7636361136344648,0.3846552489720867,0.0002704636654017585,0.4053826061093488,0.020742948597144886,0.9029701005890196
pause_ratio,1.8610941972560657,0.17609986653453263,10.829998700155276,0.0014552774229215782,0.19437872712470897,0.6604162884383953,0.02142609662537336,0.003369733636855825,-0.4783333435968192,0.4268153943420265
energy_std,1.5374727702424715,0.2184065678549103,1.6534254797373575,0.20198529309310023,1.8958841199375849,0.17215543496822566,0.017766555008192474,0.09054767785407196,-0.3292874031739497,0.5048361994307624
