feature,cohens_d,ci_low,ci_high
f0_mean_hz,0.4859161367613869,0.2336628897823176,0.7213913007688774
f0_std_hz,0.09769573917706327,-0.1188660637849239,0.3650066537221181
pause_ratio,0.012099231685444746,-0.22804572340741022,0.26145152433903157
energy_std,-0.5066320017797749,-0.7025846168272414,-0.29502682926746027
jitter,-0.01040768988014252,-0.20396390448625795,0.2152290438690644
shimmer,0.17144137756686018,-0.10725309855139345,0.44895155421676713
hnr_mean,0.19530357866185646,-0.03566419808918289,0.43093224279532066
snr,-0.4196584651819722,-0.6526830592527574,-0.17742157074998674
